Origin,Destination,Vagon,Class,Revenue
S10,S13,P,7,119.0
S10,S13,Z,1,193.0
S10,S19,P,1,216.0
S10,S19,Z,1,167.0
S10,S25,Z,4,114.3
S10,S29,Z,1,185.0
S10,S29,Z,2,148.5
S10,S30,P,1,240.0
S10,S30,Z,1,185.0
S10,S30,Z,7,56.0
S10,S31,P,4,179.0
S10,S31,Z,1,185.0
S10,S31,Z,2,165.0
S10,S31,Z,3,144.0
S10,S31,Z,4,124.0
S10,S31,Z,5,93.6
S10,S31,Z,6,74.0
S10,S31,Z,8,28.0
S10,S33,P,1,119.9
S10,S33,P,7,59.0
S10,S33,Z,1,101.0
S10,S33,Z,7,30.0
S10,S34,Z,1,147.0
S10,S36,Z,7,68.0
S10,S39,Z,1,235.0
S10,S43,Z,1,185.0
S10,S43,Z,2,165.0
S10,S43,Z,5,93.6
S10,S50,Z,1,0.0
S10,S50,Z,4,62.7
S13,S25,Z,1,119.0
S13,S25,Z,3,95.0
S13,S25,Z,6,52.0
S13,S26,Z,1,148.0
S13,S31,P,7,50.0
S13,S5,Z,6,90.0
S13,S5,Z,7,70.0
S13,S8,P,7,131.0
S13,S9,Z,1,91.0
S14,S13,Z,5,114.3
S14,S2,Z,4,37.0
S14,S2,Z,7,17.0
S14,S2,Z,8,11.0
S14,S25,P,4,203.0
S14,S25,Z,5,107.36
S14,S31,Z,2,190.0
S14,S32,Z,1,235.0
S14,S32,Z,6,94.0
S14,S34,P,6,102.4
S14,S43,Z,5,107.1
S14,S46,Z,3,45.0
S14,S46,Z,7,17.0
S14,S50,Z,7,43.0
S16,S36,Z,1,0.0
S16,S39,Z,6,27.0
S16,S5,Z,6,27.0
S16,S5,Z,7,20.0
S16,S5,Z,8,10.0
S16,S8,P,7,40.0
S16,S8,Z,1,0.0
S16,S8,Z,4,45.0
S16,S8,Z,6,27.0
S16,S8,Z,7,20.0
S16,S8,Z,8,10.0
S19,S25,Z,1,111.0
S19,S29,Z,3,66.0
S19,S31,P,1,0.0
S19,S39,Z,3,138.0
S19,S39,Z,5,115.0
S19,S5,Z,6,73.8
S19,S8,Z,6,82.0
S2,S10,Z,7,11.0
S2,S10,Z,8,5.5
S2,S19,Z,4,116.1
S2,S23,Z,5,21.0
S2,S25,Z,5,115.0
S2,S26,P,6,151.0
S2,S29,Z,1,206.0
S2,S30,Z,4,131.0
S2,S31,P,7,120.0
S2,S31,Z,1,206.0
S2,S31,Z,4,138.0
S2,S31,Z,5,103.5
S2,S31,Z,7,62.0
S2,S33,P,4,114.0
S2,S33,Z,1,120.0
S2,S33,Z,7,36.0
S2,S33,Z,8,18.0
S2,S34,Z,6,52.0
S2,S4,Z,6,16.0
S2,S46,Z,8,5.5
S22,S25,Z,5,62.0
S22,S26,Z,2,125.0
S22,S31,P,1,92.0
S22,S31,Z,2,63.0
S22,S43,Z,1,91.0
S23,S10,Z,5,21.0
S23,S13,Z,1,214.0
S23,S19,Z,2,171.0
S23,S25,Z,2,167.59
S23,S31,Z,4,138.0
S23,S31,Z,5,115.0
S23,S31,Z,7,62.0
S23,S33,P,1,156.0
S23,S33,Z,1,120.0
S23,S33,Z,7,36.0
S23,S33,Z,8,18.0
S23,S34,Z,2,139.5
S23,S50,Z,1,118.0
S25,S16,Z,4,54.0
S25,S26,Z,7,16.0
S25,S36,Z,3,85.0
S25,S36,Z,4,73.0
S25,S36,Z,5,61.0
S25,S36,Z,6,44.0
S25,S36,Z,7,33.0
S25,S36,Z,8,16.0
S25,S39,P,2,174.0
S25,S39,Z,7,44.0
S25,S5,P,2,174.0
S25,S5,Z,4,98.0
S25,S5,Z,6,50.15
S25,S5,Z,7,44.0
S25,S5,Z,8,22.0
S25,S51,Z,4,44.0
S25,S51,Z,7,17.0
S25,S8,Z,4,98.0
S25,S8,Z,5,82.0
S25,S8,Z,6,59.0
S25,S8,Z,7,44.0
S25,S8,Z,8,22.0
S26,S16,Z,4,29.0
S26,S36,P,5,51.0
S26,S36,Z,4,40.0
S26,S36,Z,8,9.0
S26,S39,Z,4,69.0
S26,S39,Z,6,41.0
S26,S39,Z,7,31.0
S26,S39,Z,8,15.0
S26,S5,Z,1,0.0
S26,S5,Z,4,69.0
S26,S5,Z,7,31.0
S26,S5,Z,8,15.0
S26,S8,Z,4,69.0
S26,S8,Z,6,41.0
S26,S8,Z,8,15.0
S27,S10,Z,4,90.0
S27,S10,Z,7,36.0
S27,S19,Z,1,208.0
S27,S2,P,2,131.0
S27,S2,P,4,106.0
S27,S2,Z,5,63.0
S27,S2,Z,6,45.0
S27,S2,Z,7,34.0
S27,S2,Z,8,19.8
S27,S23,Z,6,50.0
S27,S23,Z,7,38.0
S27,S31,Z,1,215.0
S27,S33,Z,1,163.0
S27,S33,Z,7,49.0
S27,S36,Z,1,160.0
S27,S39,Z,1,219.6
S27,S4,Z,6,58.0
S27,S40,Z,8,12.0
S27,S41,Z,1,0.0
S27,S41,Z,5,32.0
S27,S41,Z,7,17.0
S27,S46,Z,4,58.14
S27,S46,Z,6,46.0
S27,S46,Z,7,34.0
S27,S46,Z,8,22.0
S27,S5,Z,1,244.0
S27,S8,Z,2,217.0
S29,S16,Z,1,142.0
S29,S25,P,1,105.0
S29,S25,Z,1,81.0
S29,S25,Z,2,72.0
S29,S36,P,3,173.0
S29,S36,Z,1,162.0
S29,S36,Z,4,109.0
S29,S36,Z,8,24.0
S29,S5,Z,1,191.0
S29,S5,Z,6,76.0
S29,S5,Z,8,24.65
S29,S8,Z,3,149.0
S29,S8,Z,4,128.0
S29,S9,Z,2,71.0
S30,S16,Z,3,116.1
S30,S25,P,1,126.26
S30,S25,Z,3,78.3
S30,S26,P,1,180.0
S30,S26,P,4,134.0
S30,S31,Z,3,55.0
S30,S32,Z,5,74.0
S30,S36,Z,1,177.0
S30,S36,Z,3,138.0
S30,S43,Z,1,80.0
S30,S5,Z,6,82.0
S30,S5,Z,7,62.0
S30,S51,P,1,194.0
S30,S51,P,4,144.0
S30,S8,P,3,222.0
S30,S8,Z,1,206.0
S30,S8,Z,2,183.0
S30,S8,Z,4,124.2
S30,S8,Z,7,62.0
S30,S9,Z,1,83.0
S30,S9,Z,3,65.0
S31,S16,P,1,196.5
S31,S16,P,5,140.0
S31,S16,Z,1,165.0
S31,S16,Z,2,147.0
S31,S16,Z,3,129.0
S31,S16,Z,5,92.0
S31,S16,Z,6,66.0
S31,S16,Z,8,25.0
S31,S25,P,1,127.04
S31,S25,P,4,95.69
S31,S25,P,6,70.28
S31,S25,P,8,50.0
S31,S25,Z,1,111.0
S31,S25,Z,2,99.0
S31,S25,Z,3,87.0
S31,S25,Z,4,74.0
S31,S25,Z,5,62.0
S31,S25,Z,6,37.28
S31,S25,Z,7,27.96
S31,S25,Z,8,17.0
S31,S26,P,8,59.9
S31,S26,Z,1,140.0
S31,S26,Z,2,125.0
S31,S26,Z,3,109.0
S31,S26,Z,4,94.0
S31,S26,Z,5,78.0
S31,S26,Z,6,47.6
S31,S26,Z,8,21.0
S31,S29,Z,2,0.0
S31,S29,Z,3,38.51
S31,S32,P,1,171.0
S31,S32,P,8,59.0
S31,S32,Z,1,132.0
S31,S32,Z,6,53.0
S31,S36,P,4,171.0
S31,S36,P,7,102.46666666666664
S31,S36,Z,1,177.0
S31,S36,Z,2,158.0
S31,S36,Z,3,138.0
S31,S36,Z,4,119.0
S31,S36,Z,5,99.0
S31,S36,Z,6,71.0
S31,S36,Z,7,53.0
S31,S36,Z,8,27.0
S31,S39,Z,1,206.0
S31,S39,Z,3,161.0
S31,S39,Z,4,138.0
S31,S39,Z,5,115.0
S31,S39,Z,6,82.0
S31,S39,Z,7,62.0
S31,S39,Z,8,31.0
S31,S43,Z,7,24.0
S31,S5,Z,1,206.0
S31,S5,Z,2,183.0
S31,S5,Z,3,161.0
S31,S5,Z,4,138.0
S31,S5,Z,5,115.0
S31,S5,Z,6,82.0
S31,S5,Z,7,62.0
S31,S5,Z,8,31.0
S31,S51,P,1,194.0
S31,S51,P,3,161.0
S31,S51,P,4,134.9
S31,S51,P,6,104.0
S31,S51,P,7,89.0
S31,S51,Z,1,150.0
S31,S51,Z,2,134.0
S31,S51,Z,3,117.0
S31,S51,Z,4,101.0
