Origin,Destination,Vagon,Class,DBD,Bookings
S10,S13,Z,1,6,1
S10,S25,P,1,109,1
S10,S25,Z,1,70,1
S10,S25,Z,1,114,1
S10,S26,Z,1,60,1
S10,S26,Z,1,93,1
S10,S29,Z,1,10,1
S10,S29,Z,1,72,1
S10,S29,Z,1,84,1
S10,S29,Z,1,115,2
S10,S30,Z,1,124,2
S10,S31,P,1,1,1
S10,S31,P,1,65,1
S10,S31,Z,1,0,1
S10,S31,Z,1,5,1
S10,S31,Z,1,11,1
S10,S31,Z,1,12,1
S10,S31,Z,1,18,1
S10,S31,Z,1,20,1
S10,S31,Z,1,35,1
S10,S31,Z,1,38,3
S10,S31,Z,1,40,1
S10,S31,Z,1,52,1
S10,S31,Z,1,54,1
S10,S31,Z,1,56,2
S10,S31,Z,1,57,1
S10,S31,Z,1,65,1
S10,S31,Z,1,68,1
S10,S31,Z,1,70,2
S10,S31,Z,1,83,2
S10,S31,Z,1,99,1
S10,S31,Z,1,100,1
S10,S31,Z,1,126,2
S10,S31,Z,1,134,1
S10,S31,Z,1,136,1
S10,S31,Z,1,144,1
S10,S31,Z,1,155,1
S10,S33,P,1,0,1
S10,S33,P,4,48,1
S10,S33,Z,1,1,2
S10,S33,Z,1,6,1
S10,S33,Z,1,11,1
S10,S33,Z,1,12,1
S10,S33,Z,1,13,1
S10,S33,Z,1,17,1
S10,S33,Z,1,58,2
S10,S33,Z,1,68,1
S10,S33,Z,2,34,1
S10,S33,Z,3,40,2
S10,S33,Z,4,41,1
S10,S33,Z,4,42,2
S10,S33,Z,4,43,1
S10,S33,Z,4,44,2
S10,S33,Z,4,46,1
S10,S36,P,1,79,1
S10,S36,Z,1,43,1
S10,S36,Z,1,47,1
S10,S4,Z,1,12,1
S10,S4,Z,3,38,1
S10,S43,P,1,77,1
S10,S5,Z,1,42,1
S10,S5,Z,1,45,1
S10,S8,Z,1,43,1
S10,S8,Z,1,79,1
S10,S8,Z,1,87,2
S13,S16,Z,1,48,1
S13,S25,Z,1,0,2
S13,S25,Z,1,56,1
S13,S25,Z,1,88,1
S13,S26,Z,1,72,1
S13,S29,Z,1,0,1
S13,S31,Z,1,23,1
S13,S31,Z,1,85,1
S13,S5,Z,1,49,1
S13,S8,Z,1,63,1
S14,S10,Z,1,2,1
S14,S10,Z,2,14,2
S14,S10,Z,2,20,1
S14,S19,P,1,104,1
S14,S19,Z,1,23,1
S14,S2,Z,1,1,1
S14,S2,Z,1,4,1
S14,S2,Z,1,7,1
S14,S2,Z,4,53,1
S14,S2,Z,8,20,1
S14,S2,Z,8,21,1
S14,S23,Z,2,11,1
S14,S30,Z,1,0,1
S14,S30,Z,1,18,2
S14,S31,P,1,67,2
S14,S31,P,1,106,1
S14,S31,P,1,239,3
S14,S31,Z,1,30,1
S14,S31,Z,1,34,1
S14,S31,Z,1,35,1
S14,S31,Z,1,36,1
S14,S31,Z,1,37,1
S14,S33,Z,1,2,1
S14,S33,Z,1,6,1
S14,S33,Z,1,11,1
S14,S33,Z,1,12,1
S14,S33,Z,1,17,1
S14,S33,Z,1,20,1
S14,S33,Z,1,23,1
S14,S33,Z,1,24,1
S14,S33,Z,2,34,1
S14,S4,Z,1,1,2
S14,S4,Z,1,4,1
S14,S43,Z,1,63,1
S14,S46,P,1,26,1
S14,S46,Z,1,0,1
S14,S46,Z,1,1,2
S14,S46,Z,1,2,2
S14,S46,Z,1,3,1
S14,S46,Z,1,4,2
S14,S46,Z,1,6,3
S14,S46,Z,1,7,5
S14,S46,Z,1,25,1
S14,S46,Z,1,29,1
S14,S46,Z,1,121,1
S14,S46,Z,2,1,1
S14,S46,Z,3,40,1
S14,S46,Z,8,12,1
S14,S46,Z,8,19,5
S14,S46,Z,8,20,2
S14,S46,Z,8,22,2
S14,S50,Z,1,1,1
S14,S50,Z,1,4,1
S14,S8,Z,1,57,1
S16,S36,Z,1,0,1
S16,S39,Z,1,0,1
S16,S5,Z,1,0,2
S16,S5,Z,1,3,1
S16,S5,Z,2,11,1
S16,S8,Z,1,0,4
S19,S16,P,1,55,1
S19,S16,Z,1,44,1
S19,S16,Z,1,46,1
S19,S16,Z,1,54,1
S19,S16,Z,1,55,1
S19,S16,Z,1,56,1
S19,S16,Z,1,57,1
S19,S16,Z,1,66,1
S19,S16,Z,1,70,1
S19,S16,Z,1,74,1
S19,S16,Z,1,77,1
S19,S16,Z,1,115,1
S19,S25,Z,1,2,1
S19,S25,Z,1,49,1
S19,S25,Z,1,67,1
S19,S25,Z,1,70,1
S19,S25,Z,1,81,1
S19,S26,P,1,41,1
S19,S26,Z,1,45,1
S19,S36,P,1,86,1
S19,S36,Z,1,42,2
S19,S36,Z,1,43,1
S19,S36,Z,1,45,3
S19,S36,Z,1,46,2
S19,S36,Z,1,48,1
S19,S36,Z,1,54,2
S19,S36,Z,1,57,1
S19,S36,Z,1,64,1
S19,S36,Z,1,68,1
S19,S36,Z,1,70,1
S19,S36,Z,1,76,1
S19,S36,Z,1,77,1
S19,S36,Z,1,98,1
S19,S5,Z,1,41,1
S19,S5,Z,1,42,3
S19,S5,Z,1,44,2
S19,S5,Z,1,45,5
S19,S5,Z,1,48,1
S19,S5,Z,1,53,1
S19,S5,Z,1,54,1
S19,S5,Z,1,58,1
S19,S5,Z,1,67,1
S19,S5,Z,1,68,2
S19,S5,Z,1,69,1
S19,S5,Z,1,70,1
S19,S5,Z,1,71,2
S19,S5,Z,1,72,1
S19,S5,Z,1,76,1
S19,S5,Z,1,77,1
S19,S5,Z,1,84,1
S19,S5,Z,1,87,1
S19,S5,Z,1,103,2
S19,S5,Z,1,105,1
S19,S5,Z,1,114,1
S19,S5,Z,1,115,1
S19,S8,P,1,57,1
S19,S8,Z,1,42,2
S19,S8,Z,1,43,2
S19,S8,Z,1,53,1
S19,S8,Z,1,56,1
S19,S8,Z,1,65,1
S19,S8,Z,1,74,1
S19,S8,Z,1,79,1
S19,S8,Z,1,83,1
S19,S8,Z,1,84,1
S19,S8,Z,1,87,1
S19,S8,Z,1,107,1
S19,S8,Z,1,113,1
S19,S8,Z,1,115,3
S19,S9,P,1,55,1
S19,S9,P,1,90,2
S19,S9,P,1,115,1
S19,S9,Z,1,14,1
S19,S9,Z,1,37,1
S19,S9,Z,1,41,1
S19,S9,Z,1,67,1
S19,S9,Z,1,76,1
S19,S9,Z,1,81,1
S19,S9,Z,1,103,1
S2,S10,Z,1,105,1
S2,S19,Z,1,17,1
S2,S26,Z,1,56,1
S2,S29,Z,1,64,1
S2,S30,Z,1,57,1
S2,S31,Z,1,6,1
S2,S31,Z,1,35,3
S2,S31,Z,1,41,1
S2,S31,Z,1,80,2
S2,S33,Z,1,2,1
S2,S33,Z,1,10,1
S2,S33,Z,1,26,1
S2,S33,Z,1,28,1
S2,S33,Z,1,31,1
S2,S33,Z,2,33,1
S2,S33,Z,2,34,1
S2,S33,Z,2,35,2
S2,S33,Z,3,43,1
S2,S4,Z,1,20,1
S2,S4,Z,3,34,1
S2,S4,Z,3,51,1
S2,S45,Z,1,6,1
S2,S50,Z,1,17,1
S2,S8,Z,1,76,1
S23,S10,Z,1,0,1
S23,S19,Z,1,17,1
S23,S25,Z,1,99,1
S23,S26,Z,1,87,1
S23,S29,Z,1,1,1
S23,S29,Z,1,73,1
S23,S31,Z,1,7,1
S23,S31,Z,1,42,1
S23,S31,Z,1,48,1
S23,S31,Z,1,53,1
S23,S31,Z,1,62,2
S23,S31,Z,1,65,1
S23,S31,Z,1,68,1
S23,S31,Z,1,87,2
S23,S31,Z,1,97,3
S23,S33,P,1,1,1
S23,S33,P,4,40,1
S23,S33,Z,1,12,2
S23,S33,Z,1,17,1
S23,S33,Z,1,18,1
S23,S33,Z,1,71,2
S23,S33,Z,1,84,1
S23,S33,Z,1,104,1
S23,S33,Z,2,33,1
S23,S33,Z,4,42,2
S23,S33,Z,4,43,1
S23,S4,Z,1,0,1
S23,S43,Z,1,64,2
S25,S16,P,1,15,1
S25,S16,Z,1,40,1
S25,S26,P,1,52,1
S25,S26,Z,1,0,1
S25,S36,Z,1,7,1
S25,S36,Z,1,80,1
S25,S39,Z,1,27,1
S25,S5,P,1,0,2
S25,S5,Z,1,0,1
S25,S5,Z,1,1,1
S25,S5,Z,1,5,1
S25,S5,Z,1,22,1
S25,S5,Z,1,23,1
S25,S5,Z,1,28,1
S25,S5,Z,1,36,1
S25,S5,Z,1,53,1
S25,S5,Z,1,103,1
S25,S8,P,1,15,1
S25,S8,P,1,21,1
S25,S8,P,1,54,1
S25,S8,Z,1,22,1
S25,S8,Z,1,25,2
S25,S8,Z,1,26,1
S25,S8,Z,1,30,1
S25,S8,Z,1,56,1
S25,S8,Z,1,83,1
S25,S8,Z,1,115,1
S26,S36,Z,1,25,1
S26,S36,Z,1,26,1
S26,S36,Z,1,36,1
S26,S36,Z,1,50,1
S26,S36,Z,1,56,1
S26,S39,Z,1,0,1
S26,S39,Z,1,29,1
S26,S5,P,1,14,1
S26,S5,P,1,22,1
S26,S5,Z,1,0,1
S26,S5,Z,1,5,1
S26,S5,Z,1,22,1
S26,S5,Z,1,27,1
S26,S5,Z,1,29,2
S26,S5,Z,1,32,1
S26,S5,Z,1,41,2
S26,S5,Z,1,46,1
S26,S5,Z,1,59,1
S26,S5,Z,1,61,1
S26,S5,Z,1,110,1
S26,S8,P,1,13,1
S26,S8,P,1,14,1
S26,S8,P,1,19,1
S26,S8,Z,1,0,1
S26,S8,Z,1,1,1
S26,S8,Z,1,8,1
S26,S8,Z,1,9,1
S26,S8,Z,1,25,1
S26,S8,Z,1,28,2
S26,S8,Z,1,35,2
S26,S8,Z,1,53,1
S27,S10,P,3,51,1
S27,S10,Z,1,1,1
S27,S10,Z,1,5,1
S27,S10,Z,1,24,1
S27,S10,Z,2,13,1
S27,S10,Z,2,14,2
S27,S14,P,1,1,1
S27,S14,Z,8,3,2
S27,S14,Z,8,4,1
S27,S14,Z,8,13,1
S27,S19,Z,1,40,2
S27,S2,P,2,1,1
S27,S2,P,3,41,1
S27,S2,Z,1,0,1
S27,S2,Z,1,1,2
S27,S2,Z,1,2,1
S27,S2,Z,1,6,1
S27,S2,Z,1,7,1
S27,S2,Z,2,8,1
S27,S2,Z,3,36,2
S27,S2,Z,3,46,2
S27,S2,Z,4,11,1
S27,S2,Z,4,18,1
S27,S2,Z,8,19,1
S27,S2,Z,8,21,2
S27,S23,Z,1,1,1
S27,S23,Z,1,6,1
S27,S23,Z,2,13,1
S27,S23,Z,3,40,1
S27,S25,Z,1,58,1
S27,S26,Z,1,54,1
S27,S3,Z,8,1,1
S27,S30,Z,1,5,1
S27,S30,Z,1,18,3
S27,S30,Z,1,19,2
S27,S30,Z,1,31,1
S27,S31,P,1,127,1
S27,S31,Z,1,15,1
S27,S31,Z,1,35,1
S27,S31,Z,1,39,1
S27,S31,Z,1,45,1
S27,S31,Z,1,92,1
S27,S31,Z,1,102,1
S27,S33,P,2,38,1
S27,S33,Z,1,2,1
S27,S33,Z,1,5,1
S27,S33,Z,1,12,1
S27,S33,Z,1,25,1
S27,S33,Z,1,26,1
S27,S33,Z,1,28,1
S27,S33,Z,1,99,1
S27,S33,Z,1,114,1
S27,S33,Z,2,33,1
S27,S33,Z,2,34,1
S27,S33,Z,3,41,1
S27,S33,Z,3,42,1
S27,S33,Z,3,43,3
S27,S33,Z,3,51,2
S27,S4,P,1,86,1
S27,S4,Z,1,1,3
S27,S4,Z,1,2,1
S27,S4,Z,1,3,2
S27,S4,Z,1,5,3
S27,S4,Z,1,14,1
S27,S4,Z,1,30,1
S27,S40,P,6,3,1
S27,S40,Z,5,0,3
S27,S40,Z,8,1,11
S27,S40,Z,8,2,9
S27,S40,Z,8,3,3
S27,S40,Z,8,4,1
S27,S40,Z,8,5,2
S27,S40,Z,8,6,3
S27,S40,Z,8,8,1
S27,S40,Z,8,9,1
S27,S40,Z,8,10,1
S27,S40,Z,8,11,3
S27,S40,Z,8,12,1
S27,S40,Z,8,14,1
S27,S40,Z,8,16,1
S27,S40,Z,8,17,2
S27,S40,Z,8,19,1
S27,S41,P,3,39,1
S27,S41,P,6,3,1
S27,S41,Z,3,33,1
S27,S41,Z,8,1,1
S27,S41,Z,8,2,2
