Origin,Destination,Vagon,Class,DBD,Bookings
S10,S13,Z,6,39,1
S10,S25,Z,1,0,1
S10,S25,Z,6,41,2
S10,S26,Z,1,0,2
S10,S30,Z,1,1,1
S10,S31,P,1,14,1
S10,S31,P,4,29,1
S10,S31,P,4,31,2
S10,S31,P,6,42,1
S10,S31,Z,1,0,2
S10,S31,Z,1,1,1
S10,S31,Z,1,2,1
S10,S31,Z,1,6,1
S10,S31,Z,5,24,2
S10,S31,Z,5,30,2
S10,S31,Z,6,36,2
S10,S31,Z,6,42,1
S10,S31,Z,6,52,1
S10,S31,Z,7,53,1
S10,S31,Z,7,59,1
S10,S31,Z,7,60,2
S10,S31,Z,8,73,1
S10,S31,Z,8,82,2
S10,S31,Z,8,85,4
S10,S33,P,2,16,1
S10,S33,P,3,16,1
S10,S33,Z,1,0,1
S10,S33,Z,1,17,1
S10,S33,Z,2,1,1
S10,S33,Z,7,37,1
S10,S43,Z,3,12,2
S10,S43,Z,6,28,1
S10,S50,Z,1,0,1
S10,S50,Z,2,0,1
S10,S8,Z,6,48,2
S13,S25,P,1,0,1
S13,S25,P,1,6,1
S13,S25,P,7,38,1
S13,S25,Z,2,0,1
S13,S25,Z,4,15,1
S13,S25,Z,6,32,2
S13,S31,Z,4,5,2
S13,S31,Z,4,8,1
S13,S31,Z,8,83,2
S13,S36,Z,4,14,1
S13,S36,Z,7,53,1
S13,S43,Z,4,8,1
S13,S8,Z,2,0,1
S13,S9,P,1,11,1
S14,S10,P,4,0,1
S14,S2,Z,1,0,1
S14,S2,Z,5,0,1
S14,S2,Z,5,1,1
S14,S25,Z,7,51,1
S14,S30,Z,6,43,1
S14,S30,Z,7,43,1
S14,S31,Z,1,0,1
S14,S31,Z,3,16,1
S14,S31,Z,5,26,2
S14,S31,Z,8,85,5
S14,S33,Z,4,7,1
S14,S46,Z,5,0,1
S14,S46,Z,5,1,1
S14,S46,Z,8,59,1
S16,S39,Z,7,1,1
S16,S39,Z,8,14,1
S16,S5,Z,8,1,1
S16,S8,Z,1,0,1
S16,S8,Z,6,0,1
S16,S8,Z,8,1,1
S16,S8,Z,8,2,1
S16,S8,Z,8,3,4
S16,S8,Z,8,4,2
S16,S8,Z,8,13,2
S19,S25,P,1,9,1
S19,S31,P,1,0,2
S19,S5,Z,4,2,2
S19,S8,Z,2,0,1
S2,S10,Z,7,15,1
S2,S25,P,4,29,1
S2,S31,Z,2,0,1
S2,S31,Z,2,8,1
S2,S31,Z,5,45,2
S2,S31,Z,6,29,1
S2,S31,Z,6,36,2
S2,S31,Z,8,73,2
S2,S31,Z,8,85,2
S2,S34,Z,4,13,1
S2,S43,Z,1,2,1
S22,S36,Z,2,2,1
S22,S39,Z,4,8,1
S22,S43,Z,3,24,2
S22,S5,Z,4,9,1
S23,S10,Z,5,3,1
S23,S13,Z,8,85,2
S23,S16,Z,8,89,1
S23,S19,Z,2,4,1
S23,S26,P,4,29,2
S23,S29,Z,1,3,1
S23,S31,Z,3,16,1
S23,S31,Z,6,27,1
S23,S31,Z,7,54,1
S23,S31,Z,7,59,1
S23,S31,Z,8,85,4
S23,S33,Z,1,0,1
S23,S33,Z,1,14,1
S23,S33,Z,2,1,2
S23,S33,Z,4,11,1
S23,S43,Z,1,2,1
S23,S50,Z,2,2,1
S25,S26,Z,6,0,1
S25,S36,P,5,0,1
S25,S36,Z,6,0,1
S25,S36,Z,6,3,2
S25,S36,Z,6,7,1
S25,S36,Z,8,26,2
S25,S36,Z,8,62,1
S25,S39,Z,6,4,1
S25,S39,Z,8,10,1
S25,S39,Z,8,23,1
S25,S5,Z,1,3,1
S25,S5,Z,6,1,1
S25,S5,Z,8,5,3
S25,S5,Z,8,6,1
S25,S5,Z,8,9,1
S25,S5,Z,8,15,1
S25,S5,Z,8,30,1
S25,S8,P,8,65,1
S25,S8,Z,6,0,6
S25,S8,Z,6,4,1
S25,S8,Z,6,7,2
S25,S8,Z,8,5,2
S25,S8,Z,8,6,2
S25,S8,Z,8,9,3
S25,S8,Z,8,10,1
S25,S8,Z,8,20,1
S25,S8,Z,8,30,1
S25,S8,Z,8,39,1
S26,S36,Z,8,1,2
S26,S39,Z,6,0,1
S26,S39,Z,8,5,1
S26,S5,Z,6,0,1
S26,S5,Z,8,6,1
S26,S5,Z,8,7,1
S26,S5,Z,8,11,1
S26,S5,Z,8,23,2
S26,S8,Z,6,13,1
S26,S8,Z,7,1,1
S26,S8,Z,8,0,1
S26,S8,Z,8,11,1
S26,S8,Z,8,23,1
S27,S10,Z,7,5,1
S27,S14,Z,8,3,1
S27,S19,Z,4,9,1
S27,S2,Z,5,1,1
S27,S2,Z,8,21,1
S27,S2,Z,8,53,1
S27,S23,Z,7,10,1
S27,S25,Z,3,20,1
S27,S31,Z,2,6,1
S27,S31,Z,4,11,1
S27,S31,Z,5,32,2
S27,S31,Z,8,85,7
S27,S33,P,1,15,2
S27,S33,P,3,24,2
S27,S33,Z,4,11,1
S27,S33,Z,7,39,1
S27,S4,Z,7,30,1
S27,S40,Z,8,1,4
S27,S41,Z,1,0,1
S27,S41,Z,5,0,1
S27,S41,Z,5,1,1
S27,S41,Z,5,6,1
S27,S41,Z,8,2,2
S27,S41,Z,8,22,1
S27,S43,Z,8,106,2
S27,S46,Z,5,0,1
S27,S46,Z,5,1,2
S27,S46,Z,6,3,2
